iter	Passed	Remaining
401	16394	65169
402	16436	65132
403	16467	65056
404	16508	65016
405	16538	64932
406	16586	64919
407	16616	64838
408	16659	64805
409	16689	64721
410	16745	64742
411	16775	64658
412	16825	64653
413	16867	64616
414	16911	64588
415	16943	64516
416	16985	64479
417	17016	64401
418	17058	64367
419	17101	64335
420	17145	64306
421	17180	64242
422	17222	64206
423	17252	64126
424	17296	64097
425	17326	64020
426	17368	63983
427	17398	63901
428	17447	63892
429	17474	63804
430	17524	63795
431	17555	63719
432	17602	63702
433	17631	63619
434	17681	63611
435	17723	63575
436	17762	63530
437	17807	63504
438	17856	63493
439	17896	63452
440	17946	63444
441	17976	63365
442	18025	63354
443	18070	63328
444	18108	63278
445	18137	63196
446	18176	63151
447	18205	63067
448	18246	63028
449	18288	62994
450	18335	62975
451	18364	62895
452	18415	62890
453	18459	62860
454	18507	62845
455	18533	62752
456	18589	62763
457	18617	62680
458	18662	62654
459	18690	62573
460	18740	62564
461	18769	62483
462	18812	62450
463	18853	62413
464	18900	62392
465	18943	62357
466	18992	62345
467	19018	62257
468	19057	62211
469	19090	62146
470	19131	62105
471	19159	62024
472	19197	61976
473	19226	61898
474	19265	61851
475	19304	61805
476	19343	61759
477	19369	61675
478	19409	61631
479	19436	61549
480	19475	61504
481	19503	61424
482	19545	61388
483	19585	61346
484	19634	61331
485	19660	61246
486	19709	61233
487	19742	61170
488	19779	61118
489	19814	61059
490	19858	61032
491	19897	60987
492	19936	60942
493	19974	60894
494	20015	60854
495	20054	60809
496	20093	60766
497	20119	60682
498	20157	60633
499	20197	60592
500	20241	60563
501	20270	60487
502	20307	60437
503	20332	60350
504	20382	60340
505	20412	60270
506	20448	60215
507	20493	60188
508	20528	60133
509	20553	60048
510	20589	59996
511	20615	59913
512	20651	59862
513	20680	59788
514	20727	59767
515	20755	59691
516	20799	59661
517	20833	59603
518	20872	59561
519	20898	59481
520	20936	59434
521	20975	59388
522	21016	59351
523	21055	59308
524	21094	59264
525	21119	59183
526	21164	59157
527	21196	59093
528	21241	59067
529	21272	59001
530	21322	58987
531	21387	59017
532	21437	59002
533	21483	58977
534	21531	58960
535	21575	58930
536	21624	58913
537	21672	58895
538	21721	58877
539	21758	58828
540	21813	58826
541	21861	58807
542	21926	58833
543	21981	58833
544	22069	58919
545	22113	58887
546	22158	58859
547	22191	58798
548	22232	58760
549	22264	58696
550	22300	58644
551	22327	58569
552	22365	58522
553	22390	58441
554	22425	58387
555	22450	58307
556	22487	58256
557	22514	58183
558	22550	58131
559	22587	58081
560	22636	58064
561	22661	57984
562	22696	57929
563	22729	57870
564	22781	57860
565	22825	57829
566	22870	57800
567	22914	57771
568	22956	57734
569	22983	57660
570	23027	57629
571	23054	57556
572	23105	57541
573	23130	57463
574	23164	57408
575	23197	57350
576	23234	57302
577	23261	57228
578	23310	57210
579	23337	57135
580	23394	57136
581	23445	57122
582	23503	57125
583	23548	57097
584	23597	57078
585	23632	57024
586	23693	57034
587	23738	57005
588	23791	56994
589	23828	56946
590	23881	56935
591	23929	56912
592	23995	56933
