iter	Kappa	MultiClass
85	0.4045221927	0.649545996
86	0.4043345355	0.6491856562
87	0.4045493922	0.648733123
88	0.4055054688	0.6483044903
89	0.4048319832	0.6479078608
90	0.4063879163	0.6474403203
91	0.4066195051	0.6469104946
92	0.4072164301	0.6465326474
93	0.4082286564	0.6459539695
94	0.4085080233	0.6454955779
95	0.4088788169	0.6451315585
96	0.4095795954	0.6448411501
97	0.4097084661	0.6443308158
98	0.4102974213	0.6438108969
99	0.4108145939	0.6434885431
100	0.4113198035	0.643239979
101	0.4123694089	0.6425487869
102	0.4124527231	0.6423846239
103	0.4135047888	0.6418981036
104	0.4134237233	0.6415917285
105	0.4151072228	0.6411088341
106	0.4154005636	0.6406442435
107	0.4146277874	0.6403090055
108	0.415837748	0.639819868
109	0.4163320613	0.6394538533
110	0.4187009872	0.6389456134
111	0.4193631348	0.6384557559
112	0.4195405626	0.6379695407
113	0.4202422479	0.6375492701
114	0.4208989831	0.6371090382
115	0.4210515193	0.6368968932
116	0.421815263	0.6364009868
117	0.4222610812	0.6361944349
118	0.4222809948	0.6357880679
119	0.4218677797	0.6354074434
120	0.4222451798	0.6352076508
121	0.4217969313	0.6350334183
122	0.4232723417	0.634560784
123	0.4236810816	0.6340850852
124	0.4236881305	0.6336166539
125	0.4241551447	0.633230656
126	0.4241952468	0.6330052839
127	0.4250255784	0.6327398844
128	0.4252107865	0.6325583664
129	0.4260142619	0.6322753042
130	0.4254383291	0.6321213704
131	0.4258121941	0.6317854286
132	0.4263648786	0.6315198402
133	0.4257865593	0.6313198094
134	0.4262131656	0.6311307808
135	0.4271694169	0.6308438502
136	0.4284588353	0.6304357821
137	0.4277315866	0.6303269134
138	0.4277762005	0.6300871033
139	0.4280843464	0.6299252571
140	0.428354564	0.6296985685
141	0.4292612635	0.6293471135
142	0.429532793	0.6291006676
143	0.4295538659	0.6287635941
144	0.4299420343	0.6285094047
145	0.4305100035	0.6282236074
146	0.4299133753	0.6279658716
147	0.4301019497	0.6277778787
148	0.430029955	0.6274228586
149	0.4318267751	0.6271648715
150	0.4321823	0.626970761
151	0.432665568	0.6267275052
152	0.4327221154	0.6265839816
153	0.4330284451	0.6262472638
154	0.4333343765	0.6260035826
155	0.4337317632	0.6258859891
156	0.4335840412	0.6256811099
157	0.4338234559	0.6254282028
158	0.43400895	0.6253547924
159	0.4341019364	0.6250744777
160	0.4343834274	0.6248714501
161	0.4347296744	0.6246224456
162	0.4361120112	0.624196729
163	0.4364197776	0.6239756313
164	0.4365014913	0.6238081671
165	0.4375405564	0.6235613468
166	0.4375314054	0.6233981078
167	0.4374552928	0.6231563252
168	0.438166281	0.6229277679
169	0.4385860005	0.6227066789
170	0.4387123236	0.6225095087
171	0.4385359037	0.6223429086
172	0.4390890085	0.6221978659
173	0.4400686005	0.6220270926
174	0.4398432721	0.6218957647
175	0.4405376635	0.6216017043
176	0.4397499786	0.6212196317
177	0.4401229156	0.6210362724
178	0.4403323448	0.6208002786
179	0.4403620239	0.6206507713
180	0.4403498694	0.6205246671
181	0.4407714463	0.6204122031
182	0.4416802609	0.620105394
183	0.4412002874	0.6199526155
184	0.4415265531	0.6198308935
185	0.441982593	0.6196255249
186	0.4427930625	0.6193255177
187	0.4429360599	0.6190388047
188	0.44371794	0.6187759775
189	0.4438674232	0.6185755505
190	0.4446353629	0.6184107102
191	0.4450957267	0.6182745804
192	0.4457535899	0.6180832602
193	0.4458587066	0.6177771497
194	0.4462868015	0.6175633757
195	0.4460853051	0.6173502393
196	0.4460360672	0.6171933235
197	0.4460179842	0.6170931284
198	0.4459957649	0.6169700701
199	0.4466835552	0.6168109865
200	0.4467942098	0.6166958368
201	0.4473297359	0.6164428684
202	0.4467281146	0.616296321
203	0.4473910572	0.6160581621
204	0.4477662988	0.6158899003
205	0.4482086199	0.6157588815
206	0.44809111	0.6156204093
207	0.4483630936	0.6153961154
208	0.448624593	0.6151687874
209	0.4491936845	0.6148643375
210	0.4499873685	0.6146333148
211	0.4499740547	0.6144466832
212	0.4498100561	0.6143019196
213	0.4502127005	0.6141367076
214	0.4498987149	0.6139965778
215	0.4513478313	0.6137918143
216	0.4511874996	0.6136905481
217	0.4517998618	0.6135293673
218	0.4527420481	0.6132051967
219	0.4522296659	0.6130294903
220	0.4532644706	0.6127537254
221	0.4530317784	0.6126727571
222	0.4534138666	0.6125785157
223	0.4532806154	0.6123548146
224	0.453337198	0.6121753603
225	0.4534110198	0.612104665
226	0.4538944747	0.6118496427
227	0.4543543584	0.611723857
228	0.4544062455	0.6116130761
229	0.454904222	0.6114170574
230	0.4548102553	0.611306916
231	0.4551111819	0.6111335932
232	0.4554716611	0.611050309
233	0.4570458784	0.6106998052
234	0.4570146088	0.6103992447
235	0.4571168255	0.6102375562
236	0.45787957	0.6099349348
237	0.4576559719	0.6098052433
238	0.4579028044	0.6096407424
239	0.4585753687	0.6093768011
240	0.4588239445	0.6092224434
241	0.4591735031	0.6090647415
242	0.459912127	0.6087614627
243	0.4603451513	0.6085781185
244	0.4605211831	0.6083492347
245	0.4608652976	0.6081992494
246	0.4608422608	0.6080861461
247	0.4615240428	0.6078985623
248	0.4609257184	0.6077532283
249	0.461516479	0.6075922769
250	0.4616913676	0.6072733984
251	0.4622104826	0.6070976227
252	0.4623899118	0.6069852844
253	0.4624952304	0.606733666
254	0.4628695826	0.6066033888
255	0.4637441668	0.6064868654
256	0.4646326572	0.6062783957
257	0.4643639782	0.6060724555
258	0.4644242815	0.6059405279
259	0.4646984787	0.6057339565
260	0.4648455929	0.6056284342
261	0.4649530961	0.6054685163
262	0.4649558864	0.6053444646
263	0.4652444755	0.6052351734
264	0.4649358698	0.605026274
265	0.4650983599	0.6049117236
266	0.4657985419	0.6047055991
267	0.4660358698	0.6045390689
268	0.4658242062	0.6044404066
269	0.4662295105	0.6042595595
270	0.4664507038	0.6041471969
271	0.4666301747	0.6040867284
272	0.4669383435	0.6039874244
273	0.4667422975	0.6038936617
274	0.4669032212	0.6037975853
275	0.4678227524	0.6035728571
276	0.4681819085	0.6033673423
277	0.4680377062	0.603219662
278	0.4683243019	0.6030589144
279	0.4684472967	0.6028685399
280	0.4689400624	0.6026268238
281	0.4693177285	0.6024112551
282	0.4692161332	0.6022386373
283	0.4694514772	0.6019931176
284	0.4699067486	0.6018857444
285	0.469659245	0.6016134042
286	0.4701056204	0.6013904828
287	0.4702706579	0.6012216282
288	0.4699837719	0.6010847204
289	0.4700334867	0.6009364337
290	0.470737739	0.60067115
291	0.4710758687	0.6004988873
292	0.4709695523	0.6003916177
293	0.4708767673	0.6003305745
294	0.4715516554	0.6002036289
295	0.471603036	0.6000589453
296	0.4719238835	0.5999012571
297	0.4719995682	0.5996522063
298	0.4723943594	0.5994525003
299	0.4727222801	0.5992594894
300	0.4732171373	0.5990977106
301	0.4732497259	0.5990091165
302	0.4734674142	0.598858746
303	0.4735977471	0.5986434833
304	0.4739948635	0.5984294843
305	0.4742128357	0.5982348906
306	0.4742472594	0.5981838823
307	0.4742736148	0.5980142347
308	0.474518758	0.5978206854
309	0.4746014951	0.5977504542
310	0.4748819424	0.597615283
311	0.4755166578	0.5975135904
312	0.4757606525	0.5973734033
313	0.4759700163	0.5971824688
314	0.4760056805	0.5970400894
315	0.4763080473	0.5969428633
316	0.4758949768	0.5968324606
317	0.4762784361	0.5965247577
318	0.4770349326	0.5963364876
319	0.4768979017	0.5961518419
320	0.47682161	0.5960069986
321	0.4774666594	0.5958365851
322	0.4776807493	0.5956940177
323	0.478226166	0.5955547748
324	0.4782411131	0.5954989689
325	0.4782897518	0.5951994778
326	0.4782205756	0.5951222524
327	0.4780589644	0.5949859509
328	0.4781123488	0.5948081718
329	0.4779924502	0.594670174
330	0.4786022751	0.5945515803
331	0.4789432125	0.5944269382
332	0.4792030173	0.5942771256
333	0.4797613658	0.5940646577
334	0.4797996629	0.5939199513
335	0.4798871804	0.5937620758
336	0.4799584949	0.5936485102
337	0.4799855959	0.5934970353
338	0.4804174145	0.5933795668
339	0.4801832452	0.5932541254
340	0.4803935899	0.593034139
341	0.4809350972	0.5929428464
342	0.4805804822	0.5928397276
343	0.4808182685	0.5927309464
344	0.4808442815	0.5925649898
345	0.4814041455	0.5924658326
346	0.4815240936	0.5923566915
347	0.4820089312	0.5921231819
348	0.4823295168	0.5919692024
349	0.4824532457	0.5919026587
350	0.4831436564	0.59174948
351	0.4829646617	0.5915627935
352	0.4828360354	0.5914674713
353	0.4833103156	0.591364254
354	0.4840120875	0.5912324704
355	0.4841557767	0.5911711318
356	0.4844010473	0.5909895733
357	0.4839568961	0.5908941015
358	0.4843196377	0.5907432708
